name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,time_per_query
"BM_batching_bplus_32/17",1730543,405.865,405.87,ns,,7.8843e+07,,,,1.26834e-08
"BM_batching_bplus_32/18",1702375,412.517,412.526,ns,,7.75708e+07,,,,1.28915e-08
"BM_batching_bplus_32/19",1404468,517.593,517.602,ns,,6.18236e+07,,,,1.61751e-08
"BM_batching_bplus_32/20",1364216,503.479,503.504,ns,,6.35546e+07,,,,1.57345e-08
"BM_batching_bplus_32/21",1000000,521.755,521.782,ns,,6.13283e+07,,,,1.63057e-08
"BM_batching_bplus_32/22",1291373,531.89,529.476,ns,,6.04371e+07,,,,1.65461e-08
"BM_batching_bplus_32/23",1166741,629.118,628.907,ns,,5.08819e+07,,,,1.96533e-08
"BM_batching_bplus_32/24",961228,703.146,703.162,ns,,4.55087e+07,,,,2.19738e-08
"BM_batching_bplus_32/25",872931,815.235,815.149,ns,,3.92566e+07,,,,2.54734e-08
"BM_batching_bplus_32/26",722153,933.19,933.226,ns,,3.42896e+07,,,,2.91633e-08
"BM_batching_bplus_32/27",670250,1042.85,1042.89,ns,,3.0684e+07,,,,3.25902e-08
"BM_batching_bplus_32/28",607609,1152.83,1152.81,ns,,2.77582e+07,,,,3.60254e-08
"BM_batching_bplus_32/29",559644,1247.28,1246.54,ns,,2.56711e+07,,,,3.89544e-08
"BM_batching_bplus_32/30",522300,1354.37,1354.71,ns,,2.36213e+07,,,,4.23346e-08
"BM_batching_bplus_64/1",3909786,179.9,179.938,ns,,3.55679e+08,,,,2.81153e-09
"BM_batching_bplus_64/2",4248853,166.064,166.103,ns,,3.85302e+08,,,,2.59537e-09
"BM_batching_bplus_64/3",1000000,519.138,519.258,ns,,1.23253e+08,,,,8.1134e-09
"BM_batching_bplus_64/4",1243058,493.497,493.607,ns,,1.29658e+08,,,,7.71262e-09
"BM_batching_bplus_64/5",1285798,548.214,548.331,ns,,1.16718e+08,,,,8.56767e-09
"BM_batching_bplus_64/6",1243202,532.498,532.623,ns,,1.2016e+08,,,,8.32224e-09
"BM_batching_bplus_64/7",978073,654.149,654.307,ns,,9.78134e+07,,,,1.02235e-08
"BM_batching_bplus_64/8",1099781,636.472,636.62,ns,,1.00531e+08,,,,9.94718e-09
"BM_batching_bplus_64/9",1116861,626.934,627.057,ns,,1.02064e+08,,,,9.79777e-09
"BM_batching_bplus_64/10",1133788,612.682,612.804,ns,,1.04438e+08,,,,9.57507e-09
"BM_batching_bplus_64/11",977317,696.984,697.141,ns,,9.18035e+07,,,,1.08928e-08
"BM_batching_bplus_64/12",998863,709.855,710.015,ns,,9.01389e+07,,,,1.1094e-08
"BM_batching_bplus_64/13",984311,703.206,703.362,ns,,9.09915e+07,,,,1.099e-08
"BM_batching_bplus_64/14",1012442,706.066,706.216,ns,,9.06238e+07,,,,1.10346e-08
"BM_batching_bplus_64/15",850854,801.933,802.11,ns,,7.97896e+07,,,,1.2533e-08
"BM_batching_bplus_64/16",837704,816.652,816.819,ns,,7.83527e+07,,,,1.27628e-08
"BM_batching_bplus_64/17",791147,805.702,805.875,ns,,7.94167e+07,,,,1.25918e-08
"BM_batching_bplus_64/18",847984,811.081,811.229,ns,,7.88926e+07,,,,1.26755e-08
"BM_batching_bplus_64/19",754387,941.522,941.701,ns,,6.79621e+07,,,,1.47141e-08
"BM_batching_bplus_64/20",743111,947.336,947.545,ns,,6.7543e+07,,,,1.48054e-08
"BM_batching_bplus_64/21",734766,961.876,962.079,ns,,6.65226e+07,,,,1.50325e-08
"BM_batching_bplus_64/22",703309,974.52,974.716,ns,,6.56601e+07,,,,1.52299e-08
"BM_batching_bplus_64/23",621943,1112.25,1112.49,ns,,5.75285e+07,,,,1.73827e-08
"BM_batching_bplus_64/24",571684,1227.01,1227.21,ns,,5.21508e+07,,,,1.91751e-08
"BM_batching_bplus_64/25",458915,1549.16,1549.47,ns,,4.13044e+07,,,,2.42105e-08
"BM_batching_bplus_64/26",408019,1702.36,1702.73,ns,,3.75868e+07,,,,2.66051e-08
"BM_batching_bplus_64/27",347517,1988.64,1989.01,ns,,3.21768e+07,,,,3.10783e-08
"BM_batching_bplus_64/28",315873,2217.53,2218.02,ns,,2.88545e+07,,,,3.46566e-08
"BM_batching_bplus_64/29",293106,2392.17,2390.38,ns,,2.6774e+07,,,,3.73497e-08
"BM_batching_bplus_64/30",278646,2494.8,2494.32,ns,,2.56583e+07,,,,3.89738e-08
